,65,,,60,1,,,12,1,,,,,104,1,137,1,,,청량,캠퍼스,여,"10대,20대","봄,여름,가을",16,592000,65
,66,,,,,,,,,,,395,1,181,2,324,1,,,연보라점프수트,"캠퍼스,오피스",여,"20대,30대","봄,여름,가을",256,312000,66
,67,,,76,1,,,164,1,,,,,183,1,,,,,갈색반바지,"케쥬얼,캠퍼스",여,"10대,20대,30대",여름,2,263000,67
,68,,,41,1,,,149,1,,,,,157,1,204,2,251,1,블랙스트릿,"케쥬얼,스트릿",남,"10대,20대,30대","봄,가을",132096,395900,68
,69,,,109,1,,,234,1,,,,,187,1,141,1,235,1,올리브비니,"케쥬얼,캠퍼스,스트릿",남,"10대,20대,30대","봄,가을",429312,292900,69
,70,,,56,1,,,193,2,,,,,102,1,,,,,기본템들,"미니멀,케쥬얼,캠퍼스",남,"10대,20대,30대","봄,가을",262144,187000,70
,71,285,1,,,,,94,1,,,,,58,1,322,1,,,남색가디건,"미니멀,케쥬얼,캠퍼스",여,"10대,20대,30대","봄,가을",1064960,280000,71
,72,,,40,1,,,37,1,,,,,106,1,,,,,쪼리멜론,케쥬얼,여,"10대,20대,30대",여름,2064,97800,72
,73,,,195,1,,,193,2,,,,,173,2,,,,,음,"케쥬얼,캠퍼스,스트릿",남,"10대,20대,30대","봄,가을",262144,157900,73
,74,288,1,,,,,149,1,,,,,102,1,,,218,1,겨울,"케쥬얼,캠퍼스",남,"10대,20대,30대",겨울,131072,325700,74
,75,133,1,,,,,28,1,,,,,154,3,,,48,1,차콜후드집업,"케쥬얼,캠퍼스","남,여","10대,20대,30대","봄,가을",262144,415000,75
,76,,,196,1,,,165,1,,,,,106,1,,,,,그레이블루조거,"케쥬얼,캠퍼스,스트릿","남,여","10대,20대,30대",여름,294912,136900,76
,77,,,143,1,,,,,297,1,,,273,2,208,1,,,미니플레어화이트,"캠퍼스,페미닌,러블리",여,"10대,20대","봄,여름,가을",2,473800,77
,78,,,148,1,,,,,227,1,,,168,3,264,1,,,잔패턴블라우스,"캠퍼스,페미닌,러블리",여,"10대,20대,30대",여름,256,208900,78
,79,,,11,1,,,,,299,1,,,270,2,211,1,,,하늘크롭가죽치마,"캠퍼스,섹시글램,페미닌",여,"10대,20대",여름,387,250900,79
2021. 8. 18 오전 11:01:29,80,,,403,1,,,404,1,,,,,405,1,,,,,스트릿 댄서룩,스트릿,"남, 여",20대,여름,32768,205800,80
2021. 8. 18 오후 5:08:35,81,,,407,1,129,1,406,1,,,,,153,3,408,1,,,미니멀1,미니멀,남,20대,가을,4352,470800,81
2021. 8. 18 오후 6:23:09,82,,,410,1,,,192,1,,,,,151,1,,,,,미니멀2_블랙&화이트,미니멀,남,"20대, 30대",가을,16,194800,82
2021. 8. 18 오후 7:55:14,83,412,1,116,1,,,411,1,,,,,413,1,414,1,,,미니멀3,미니멀,남,20대,"봄, 가을",1024,340410,83
2021. 8. 18 오후 9:00:24,84,,,418,1,,,419,1,,,,,421,1,264,1,420,1,미니멀4,미니멀,남,20대,여름,262144,465300,84
2021. 8. 18 오후 9:49:30,85,425,1,424,1,,,423,1,,,,,102,1,209,1,,,미니멀_여자1,미니멀,여,20대,"봄, 가을",262144,761000,85
2021. 8. 18 오후 11:08:11,86,427,1,428,1,,,426,1,,,,,429,1,,,,,미니멀_여자2,미니멀,여,"20대, 30대","봄, 가을",2048,274300,86
2021. 8. 18 오후 11:25:06,87,427,1,352,1,,,430,1,,,,,268,1,,,,,캐주얼_여자1,케쥬얼,여,20대,봄,8192,493000,87
2021. 8. 24 오후 9:35:11,88,,,409,1,,,431,1,,,,,,,,,,,미니멀5-브라운 톤온톤,미니멀,남,"20대, 30대",가을,2048,101500,88
2021. 8. 24 오후 9:36:21,89,,,415,1,,,432,1,,,,,417,1,416,1,,,미니멀6-여름남친룩,미니멀,남,20대,"봄, 여름",2048,304100,89
2021. 8. 24 오후 10:32:24,90,433,1,435,1,,,434,1,,,,,261,1,,,,,캐주얼_남자1,케쥬얼,남,"20대, 30대","봄, 가을",262144,396900,90
2021. 8. 24 오후 11:01:31,91,436,1,437,1,,,191,1,,,,,157,1,,,,,캐주얼_남자2,케쥬얼,남,"20대, 30대","봄, 가을",2048,371500,91
2021. 8. 25 오전 12:41:53,92,438,1,439,1,,,234,1,,,,,156,2,206,1,225,1,캐주얼_남자3,케쥬얼,남,20대,봄,3328,621595,92
2021. 8. 25 오전 1:04:45,93,136,1,437,1,,,440,1,,,,,102,1,,,228,1,캐주얼_여자2,케쥬얼,여,20대,가을,1024,325500,93
2021. 8. 25 오전 6:49:45,94,,,441,1,,,,,107,1,,,101,1,212,1,,,캐주얼_여자3,케쥬얼,여,20대,여름,256,171200,94
